iter	Passed	Remaining
735	6525	2340
736	6533	2331
737	6542	2322
738	6551	2313
739	6560	2305
740	6569	2296
741	6578	2287
742	6586	2278
743	6595	2269
744	6604	2260
745	6613	2251
746	6621	2242
747	6630	2233
748	6639	2224
749	6647	2215
750	6656	2207
751	6665	2198
752	6674	2189
753	6683	2180
754	6691	2171
755	6700	2162
756	6709	2153
757	6718	2145
758	6727	2136
759	6736	2127
760	6746	2118
761	6755	2110
762	6764	2101
763	6773	2092
764	6782	2083
765	6790	2074
766	6799	2065
767	6808	2056
768	6817	2047
769	6826	2038
770	6834	2030
771	6843	2021
772	6852	2012
773	6861	2003
774	6870	1994
775	6879	1985
776	6887	1976
777	6896	1967
778	6905	1959
779	6914	1950
780	6924	1941
781	6933	1932
782	6944	1924
783	6954	1916
784	6963	1907
785	6972	1898
786	6981	1889
787	6990	1880
788	6999	1871
789	7008	1862
790	7017	1854
791	7025	1845
792	7034	1836
793	7043	1827
794	7052	1818
795	7061	1809
796	7070	1800
797	7078	1791
798	7087	1782
799	7096	1774
800	7105	1765
801	7113	1756
802	7122	1747
803	7131	1738
804	7140	1729
805	7148	1720
806	7157	1711
807	7166	1702
808	7175	1694
809	7184	1685
810	7192	1676
811	7201	1667
812	7210	1658
813	7219	1649
814	7228	1640
815	7236	1631
816	7246	1623
817	7254	1614
818	7263	1605
819	7272	1596
820	7281	1587
821	7289	1578
822	7298	1569
823	7308	1560
824	7316	1552
825	7325	1543
826	7334	1534
827	7343	1525
828	7351	1516
829	7360	1507
830	7369	1498
831	7378	1489
832	7387	1480
833	7396	1472
834	7405	1463
835	7413	1454
836	7422	1445
837	7431	1436
838	7440	1427
839	7449	1418
840	7457	1409
841	7466	1401
842	7475	1392
843	7483	1383
844	7492	1374
845	7501	1365
846	7510	1356
847	7518	1347
848	7527	1338
849	7536	1329
850	7544	1321
851	7553	1312
852	7562	1303
853	7571	1294
854	7580	1285
855	7589	1276
856	7598	1267
857	7607	1259
858	7616	1250
859	7624	1241
860	7633	1232
861	7641	1223
862	7650	1214
863	7659	1205
864	7668	1196
865	7676	1187
866	7685	1178
867	7694	1170
868	7702	1161
869	7711	1152
870	7720	1143
871	7729	1134
872	7738	1125
873	7746	1116
874	7755	1107
875	7764	1099
876	7773	1090
877	7782	1081
878	7790	1072
879	7799	1063
880	7808	1054
881	7817	1045
882	7825	1036
883	7834	1028
884	7843	1019
885	7852	1010
886	7861	1001
887	7870	992
888	7878	983
889	7887	974
890	7896	965
891	7904	957
892	7914	948
893	7923	939
894	7932	930
895	7941	921
896	7950	912
897	7958	904
898	7967	895
899	7976	886
900	7985	877
901	7993	868
902	8002	859
903	8011	850
904	8020	841
905	8029	833
906	8038	824
907	8047	815
908	8056	806
909	8065	797
910	8074	788
911	8083	779
912	8091	771
913	8100	762
914	8109	753
915	8118	744
916	8127	735
917	8135	726
918	8144	717
919	8153	708
920	8161	700
921	8170	691
922	8179	682
923	8188	673
924	8197	664
925	8206	655
926	8215	646
927	8224	638
928	8233	629
929	8242	620
930	8251	611
931	8260	602
932	8269	593
933	8278	584
934	8287	576
935	8295	567
936	8304	558
937	8313	549
938	8321	540
939	8330	531
940	8339	522
941	8347	513
942	8356	505
943	8365	496
944	8374	487
945	8383	478
946	8391	469
947	8400	460
948	8409	451
949	8418	443
950	8427	434
951	8436	425
952	8444	416
953	8453	407
954	8462	398
955	8470	389
956	8479	381
957	8488	372
958	8497	363
959	8506	354
960	8514	345
961	8523	336
962	8532	327
963	8541	318
964	8550	310
965	8559	301
966	8567	292
967	8576	283
968	8585	274
969	8594	265
970	8602	256
971	8611	248
972	8620	239
973	8629	230
974	8638	221
975	8646	212
976	8655	203
977	8664	194
978	8673	186
979	8682	177
980	8691	168
981	8700	159
982	8709	150
983	8717	141
984	8726	132
985	8735	124
986	8744	115
987	8753	106
988	8761	97
989	8770	88
990	8779	79
991	8788	70
992	8796	62
993	8805	53
994	8813	44
995	8822	35
996	8831	26
997	8840	17
998	8849	8
999	8858	0
